Authority,Book issues 2012,Book issues 2014,Change,As %,Missing number,
Doncaster,1200470,628709,-571761,-47.6%,FALSE,
Newcastle Upon Tyne,1425220,807548,-617672,-43.3%,FALSE,
Rochdale,938918,549507,-389411,-41.5%,FALSE,
Wigan,1128108,757525,-370583,-32.8%,FALSE,
Redcar And Cleveland,528402,355603,-172799,-32.7%,FALSE,
St Helens,1088015,732639,-355376,-32.7%,FALSE,
Sunderland,1087568,749067,-338501,-31.1%,FALSE,
South Tyneside,720304,509894,-210410,-29.2%,FALSE,
North East Lincolnshire,567492,411064,-156428,-27.6%,FALSE,
Camden,789304,574145,-215159,-27.3%,FALSE,
Bury,891150,652389,-238761,-26.8%,FALSE,
Leicestershire,3635217,2666896,-968321,-26.6%,FALSE,
Luton,919187,676574,-242613,-26.4%,FALSE,
Tameside,903947,666757,-237190,-26.2%,FALSE,
Manchester,1581186,1178690,-402496,-25.5%,FALSE,
Bolton,916238,684766,-231472,-25.3%,FALSE,
Stockport,1475729,1104822,-370907,-25.1%,FALSE,
Cornwall,2848540,2135550,-712990,-25.0%,FALSE,
Harrow,1401928,1055820,-346108,-24.7%,FALSE,
Trafford,857646,647979,-209667,-24.4%,FALSE,
Calderdale,853043,646695,-206348,-24.2%,FALSE,
Barking And Dagenham,748366,570582,-177784,-23.8%,FALSE,
Gloucestershire,2833328,2160527,-672801,-23.7%,FALSE,
Torbay,721319,554595,-166724,-23.1%,FALSE,
Derby,1067561,822416,-245145,-23.0%,FALSE,
Sefton,1262662,974536,-288126,-22.8%,FALSE,
Durham,3243159,2511691,-731468,-22.6%,FALSE,
Blackburn With Darwen,504792,392533,-112259,-22.2%,FALSE,
Bexley,1188076,926438,-261638,-22.0%,FALSE,
North Yorkshire,3093939,2431074,-662865,-21.4%,FALSE,
Oldham,802317,633564,-168753,-21.0%,FALSE,
Salford,750648,593758,-156890,-20.9%,FALSE,
Sheffield,2049010,1624570,-424440,-20.7%,FALSE,
Herefordshire,769236,614312,-154924,-20.1%,FALSE,
Lincolnshire,2987297,2396074,-591223,-19.8%,FALSE,
West Sussex,5077458,4075046,-1002412,-19.7%,FALSE,
Sutton,992894,798246,-194648,-19.6%,FALSE,
Croydon,1285328,1034365,-250963,-19.5%,FALSE,
Barnsley,735368,593016,-142352,-19.4%,FALSE,
Reading,984885,795734,-189151,-19.2%,FALSE,
Darlington,523684,424726,-98958,-18.9%,FALSE,
Cambridgeshire,3158743,2563429,-595314,-18.8%,FALSE,
Southend On Sea,907665,740907,-166758,-18.4%,FALSE,
Greenwich,873203,713073,-160130,-18.3%,FALSE,
Essex,6925326,5661585,-1263741,-18.2%,FALSE,
Dorset,2423858,1984900,-438958,-18.1%,FALSE,
Wirral,1744299,1428834,-315465,-18.1%,FALSE,
Bromley,1632341,1340382,-291959,-17.9%,FALSE,
Hammersmith And Fulham,456022,375585,-80437,-17.6%,FALSE,
Barnet,1446644,1192742,-253902,-17.6%,FALSE,
Gateshead,1077062,890259,-186803,-17.3%,FALSE,
Wolverhampton,1522102,1260064,-262038,-17.2%,FALSE,
Thurrock,584411,484278,-100133,-17.1%,FALSE,
Waltham Forest,768581,637096,-131485,-17.1%,FALSE,
Cheshire West And Chester,2219145,1841771,-377374,-17.0%,FALSE,
Northamptonshire,3125373,2602955,-522418,-16.7%,FALSE,
Southampton,1343045,1118683,-224362,-16.7%,FALSE,
Isle Of Wight,615096,514228,-100868,-16.4%,FALSE,
Islington,837513,700733,-136780,-16.3%,FALSE,
Blackpool,654076,547649,-106427,-16.3%,FALSE,
Staffordshire,3762486,3161251,-601235,-16.0%,FALSE,
Buckinghamshire,2762306,2323040,-439266,-15.9%,FALSE,
