Council,Paid staff 2010,Paid staff now,2010 volunteers,Volunteers now,Libraries/mobile libraries 2010,Libraries/mobile libraries now,Total libraries closed since 2010,Static closures,Mobile Closures,Other closures,Transferred to community-run,Outsourced to other provider,Moved since 2010,New since 2010 static,New since 2010 mobile,New Others,Proposed for closure 2016
Aberdeen,134,130,0,0,18,19,1,1,0,0,0,0,0,2,0,0,0
Aberdeenshire,239,317,0,0,42,43,1,0,1,0,0,0,4,0,0,2,0
Anglesey,32,29,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0
Angus,64,66,Not available,Not available,12,8,4,4,0,0,0,0,0,0,0,0,0
Argyll and Bute,38,38,10,27,13,13,0,0,0,0,0,0,1,0,0,0,0
Barking and Dagenham,80,67,0,121,11,4,5,5,0,0,2,0,2,0,0,0,0
Barnet,Not available,155,0,65,16,14,0,0,0,0,2,0,0,0,0,0,0
Barnsley,82,63,13,Not available,19,15,4,2,2,0,0,0,1,0,0,0,0
Bath and North East Somerset,51.21,48.8,95,138,10,9,1,0,1,0,0,0,2,0,0,0,0
Bedford,93,61,36,69,6,6,0,0,0,0,0,0,0,0,0,0,0
Bexley,206,172,173,339,13,11,0,0,0,0,2,0,3,0,0,0,0
Birmingham,353,194,2,46,40,39,1,1,0,0,0,0,3,0,0,0,0
Blackburn with Darwen,83,43,31,54,6,5,1,0,1,0,0,0,0,0,0,0,0
Blackpool,65,54,47,69,8,8,0,0,0,0,0,0,0,0,0,0,0
Blaenau Gwent,20,32,0,45,6,6,0,0,0,0,0,0,0,0,0,0,0
Bolton,192,134,0,0,15,10,5,5,0,0,0,0,0,0,0,0,0
Bournemouth,117,104,105,144,12,12,0,0,0,0,0,0,0,0,0,0,0
Bracknell Forest,89,76,15,160,9,9,0,0,0,0,0,0,0,0,0,0,0
Bradford,132.8,83.7,0,54,37,27,6,1,3,2,4,0,3,0,0,0,0
Brent,89,73,6,45,12,6,6,6,0,0,0,0,2,0,0,0,0
Bridgend,67,57,0,0,17,14,3,3,0,0,0,0,2,0,0,0,0
Brighton and Hove,150,132,Not available,170,14,14,0,0,0,0,0,0,0,0,0,0,0
Bristol,336,209,71,68,28,28,0,0,0,0,0,0,2,0,0,0,2
Bromley,249,194,45,212,16,14,2,1,1,0,0,0,3,0,0,0,0
Buckinghamshire,171.4,127,302,350,30,30,0,0,0,0,0,0,0,0,0,0,0
Bury,104,68,100,135,17,15,2,2,0,0,0,0,0,0,0,0,0
Caerphilly,Not available,Not available,Not available,Not available,16,18,0,0,0,0,0,0,3,2,0,0,0
Calderdale,105,75,20,26,24,22,2,0,2,0,0,0,1,0,0,0,0
Cambridgeshire,282,190,879,990,46,46,0,0,0,0,0,0,3,0,0,0,2
Camden,202,121,10,60,14,9,5,4,1,0,0,0,1,0,0,0,0
Cardiff,Not available,106,Not available,92,19,18,1,1,0,0,0,0,2,0,0,0,0
Carmarthenshire,74,56.77,3,19,28,22,6,5,1,0,0,0,4,0,0,0,0
Central Bedfordshire,63.3,104,93,432,13,12,1,0,1,0,0,0,0,0,0,0,0
Ceredigion,38,26,0,12,13,10,3,1,2,0,0,0,1,0,0,0,0
Cheshire East,216,153,136,224,21,17,3,1,2,0,1,0,0,0,0,0,0
Cheshire West and Chester,159,145,104,151,26,26,1,1,0,0,0,0,4,0,1,0,0
City of London,Not available,Not available,Not available,Not available,6,6,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire,46,42,21,51,8,8,0,0,0,0,0,0,0,0,0,0,0
Comhairle nan Eilean Siar,28,21,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0
Conwy,69,74,8,74,14,11,3,3,0,0,0,0,0,0,0,0,0
Cornwall,247,217,301,236,37,47,3,0,3,0,0,0,1,0,0,13,0
Coventry,193,172,52,194,18,18,0,0,0,0,0,0,1,0,0,0,0
Croydon,104,79,Not available,52,13,13,0,0,0,0,0,0,1,0,0,0,0
Cumbria,296,220,123,126,,,,0,0,0,0,0,6,0,0,0,0
Darlington,38,29,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0
Denbighshire,Not available,Not available,Not available,Not available,8,8,0,0,0,0,0,0,0,0,0,0,0
Derby,161,115,34,48,15,15,0,0,0,0,0,0,2,0,0,0,0
Derbyshire,704,431,101,304,45,45,0,0,0,0,0,0,2,0,2,0,0
Devon,539,372,230,293,54,54,0,0,0,0,0,0,4,0,0,0,0
Doncaster,137,58,74,451,28,5,4,2,2,0,19,0,4,0,0,0,0
Dorset,215,201,269,467,34,25,1,1,0,0,8,0,1,0,0,0,1
Dudley,123,111.6,31,67,17,17,0,0,0,0,0,0,1,0,0,0,0
Dumfries and Galloway,106,187,0,30,24,24,0,0,0,0,0,0,3,0,0,0,0
Dundee,117,102,12,35,14,14,0,0,0,0,0,0,1,0,0,0,0
Durham,225,153,90,65,39,39,0,0,0,0,0,0,0,0,0,0,0
Ealing,195,108,19,133,15,14,1,0,0,1,0,0,2,0,0,0,0
East Ayrshire,95,71,0,0,23,19,4,4,0,0,0,0,5,0,0,0,3
East Dunbartonshire,62,62,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
East Lothian,69,81,Not available,108,14,13,1,0,1,0,0,0,3,0,0,0,1
East Renfrewshire,67,52,0,0,10,10,0,0,0,0,0,0,1,0,0,0,0
East Riding of Yorkshire,188,170,Not available,34,34,30,4,0,4,0,0,0,1,0,0,0,0
East Sussex,170.1,133.3,344,372,32,28,4,1,2,1,0,0,3,0,0,0,0
Edinburgh,295,315,239,258,27,28,0,0,0,0,0,0,1,1,0,0,0
Enfield,143,160,10,48,16,17,0,0,0,0,0,0,1,0,1,0,0
Essex,1141,568,642,748,85,84,2,0,2,0,0,0,1,1,0,0,0
Falkirk,Not available,92,Not available,Not available,9,9,0,0,0,0,0,0,1,0,0,0,0
Fife,261,219,8,6,54,54,0,0,0,0,0,0,2,0,0,0,17
Flintshire,90,55,0,4,18,14,4,3,1,0,0,0,0,0,0,0,2
Gateshead,139,98,30,140,19,12,1,1,0,0,6,0,2,0,0,0,0
Glasgow,360.1,287,64,91,33,33,0,0,0,0,0,0,1,0,0,0,0
Gloucestershire,270,184,167,212,39,33,0,0,0,0,7,0,2,1,0,0,0
Greenwich,Not available,105,5,20,13,12,2,2,0,0,0,0,1,1,0,0,0
Gwynedd,53,50,2,10,21,20,1,0,1,0,0,0,0,0,0,0,8
Hackney,166,142,32,10,8,8,0,0,0,0,0,0,1,0,0,0,0
Halton,104,53,Not available,Not available,5,4,1,0,1,0,0,0,1,0,0,0,0
Hammersmith and Fulham,113,54,0,14,6,5,0,0,0,0,1,0,1,0,0,0,0
Hampshire,760,525,567,1498,71,57,15,1,14,0,0,0,1,1,0,0,4
Haringey,145,81,Not available,Not available,9,9,0,0,0,0,0,0,0,0,0,0,0
Harrow,164,60,32,39,11,6,5,5,0,0,0,0,1,0,0,0,0
Hartlepool,72,43,14,35,7,5,2,2,0,0,0,0,0,0,0,0,0
Havering,115,102,Not available,Not available,10,10,0,0,0,0,0,0,1,0,0,0,0
Herefordshire,84,54,328,45,11,11,0,0,0,0,0,0,1,0,0,0,0
Hertfordshire,797,573,284,812,61,48,13,0,13,0,0,0,5,0,0,0,0
Hillingdon,160,173,36,53,18,18,0,0,0,0,0,0,2,0,0,0,0
Hounslow,96,82,10,7,11,11,0,0,0,0,0,0,1,0,0,0,0
Hull,136,182,29,40,17,12,5,4,1,0,0,0,1,0,0,0,0
Inverclyde,37,39,0,6,7,7,0,0,0,0,0,0,1,0,0,0,0
Isle of Wight,66,30,11,124,13,8,0,0,0,0,5,0,2,0,0,0,0
Isles of Scilly,6,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
